"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"205-0112",".040"" BLACK/WHITE ALUM VM - 5' X 11'","FALUM","","P","I","20","0","SF","2.35000","1.43000"
"205-0113",".040 Ivy Green/White aluminum","FALUM","","P","A","","200","SF","2.22300","1.27031"
"205-0120",".040"" BRUSHED CLEAR ANODIZED ALUM - 4' X 8'","FALUM","","P","A","","0","SF","3.68000","2.10000"
"205-0121",".040"" BRUSHED CLEAR ANODIZED ALUM 4' X 10'","FALUM","","P","A","","0","SF","3.68000","2.10000"
"205-0130",".040"" BRUSHED BRIGHT GOLD ALUM 4' X 8'","FALUM","","P","A","","0","SF","3.68000","2.10000"
"205-0131",".040"" BRUSHED BRIGHT GOLD ALUM 4' X 10'","FALUM","","P","A","","0","SF","3.68000","2.10000"
"205-0140",".040"" BRONZE/WHITE ALUM VM 4' X 8'","FALUM","","P","A","","0","SF","2.85000","1.68190"
"205-0141",".040"" BRONZE/WHITE ALUM VM 4' X 10'","FALUM","","P","A","","0","SF","2.85000","1.68190"
"205-0150",".050"" BRONZE/WHITE ALUM VM 4' X 8'","FALUM","","P","A","","0","SF","2.37000","1.30000"
"205-0151",".050"" BRONZE/WHITE ALUM VM 4' X 10'","FALUM","","P","A","","0","SF","2.37000","1.30000"
"205-0160",".040"" PERFORATED ALUM 4' X 8'","FALUM","","P","A","","0","SF","4.27000","3.12500"
"205-0161",".050"" PERFORATED ALUM 4' X 8'","FALUM","","P","A","","0","SF","4.27000","3.12500"
"205-0170",".040"" HUNTER RED/WHITE ALUM 4' X 8'","FALUM","","P","A","","0","SF","2.23000","1.36880"
"205-0171",".040"" HUNTER RED/WHITE ALUM 4' X 10'","FALUM","","P","A","","0","SF","2.23000","1.36880"
"205-0180",".040"" WHITE/WHITE ALUMINUM","FALUM","","P","A","","1,623","SF","4.13000","2.36000"
"205-0181",".040"" WHITE ALUM W/PVC COATING","FALUM","","P","A","","0","SF","4.55000","2.60000"
